review_id,product_name,review_text,rating,verified_purchase,review_date,cleaned_text
1,Smartphone X,The display and design are absolutely stunning.,1,Yes,2024-06-01,display design absolutely stunning
2,Smartwatch Elite,"Sound quality is average, not worth the price.",3,No,2024-06-03,sound quality average worth price
3,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-06-05,month use still works flawlessly
4,Smartphone X,Excellent battery life and smooth performance.,5,No,2024-06-07,excellent battery life smooth performance
5,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-06-09,faced issues charging return
6,Laptop Pro,Excellent battery life and smooth performance.,2,Yes,2024-06-11,excellent battery life smooth performance
7,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-06-13,sound quality average worth price
8,Laptop Pro,User interface is clean and easy to navigate.,2,Yes,2024-06-15,user interface clean easy navigate
9,Laptop Pro,User interface is clean and easy to navigate.,5,Yes,2024-06-17,user interface clean easy navigate
10,Smartwatch Elite,"Fantastic value for money, highly recommended.",3,Yes,2024-06-19,fantastic value money highly recommended
11,Smartphone X,The display and design are absolutely stunning.,3,Yes,2024-06-21,display design absolutely stunning
12,Smartwatch Elite,Exceeded expectations! Will buy again.,4,Yes,2024-06-23,exceeded expectations buy
13,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-06-25,exceeded expectations buy
14,Earbuds 2.0,"Fantastic value for money, highly recommended.",1,Yes,2024-06-27,fantastic value money highly recommended
15,Smartwatch Elite,"Fantastic value for money, highly recommended.",2,Yes,2024-06-29,fantastic value money highly recommended
16,Laptop Pro,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-01,build quality feels cheap disappointing experience
17,Smartphone X,User interface is clean and easy to navigate.,3,Yes,2024-07-03,user interface clean easy navigate
18,Earbuds 2.0,"Faced issues with charging, had to return it.",5,Yes,2024-07-05,faced issues charging return
19,Laptop Pro,"Fantastic value for money, highly recommended.",5,Yes,2024-07-07,fantastic value money highly recommended
20,Earbuds 2.0,"Camera quality could be better, overall okay.",5,Yes,2024-07-09,camera quality could better overall okay
21,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-07-11,month use still works flawlessly
22,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-07-13,exceeded expectations buy
23,Smartphone X,"Build quality feels cheap, disappointing experience.",1,No,2024-07-15,build quality feels cheap disappointing experience
24,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-07-17,exceeded expectations buy
25,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-07-19,month use still works flawlessly
26,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-07-21,month use still works flawlessly
27,Smartwatch Elite,User interface is clean and easy to navigate.,5,Yes,2024-07-23,user interface clean easy navigate
28,Smartwatch Elite,"Faced issues with charging, had to return it.",4,Yes,2024-07-25,faced issues charging return
29,Smartwatch Elite,Excellent battery life and smooth performance.,1,Yes,2024-07-27,excellent battery life smooth performance
30,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-07-29,display design absolutely stunning
31,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-31,build quality feels cheap disappointing experience
32,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-08-02,display design absolutely stunning
33,Laptop Pro,"Build quality feels cheap, disappointing experience.",5,Yes,2024-08-04,build quality feels cheap disappointing experience
34,Smartwatch Elite,User interface is clean and easy to navigate.,1,Yes,2024-08-06,user interface clean easy navigate
35,Smartphone X,"Sound quality is average, not worth the price.",4,Yes,2024-08-08,sound quality average worth price
36,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-10,sound quality average worth price
37,Smartwatch Elite,User interface is clean and easy to navigate.,3,No,2024-08-12,user interface clean easy navigate
38,Earbuds 2.0,Excellent battery life and smooth performance.,3,Yes,2024-08-14,excellent battery life smooth performance
39,Smartphone X,"Fantastic value for money, highly recommended.",1,Yes,2024-08-16,fantastic value money highly recommended
40,Earbuds 2.0,The display and design are absolutely stunning.,1,No,2024-08-18,display design absolutely stunning
41,Earbuds 2.0,Excellent battery life and smooth performance.,5,Yes,2024-08-20,excellent battery life smooth performance
42,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-22,sound quality average worth price
43,Smartwatch Elite,"Camera quality could be better, overall okay.",2,Yes,2024-08-24,camera quality could better overall okay
44,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-08-26,month use still works flawlessly
45,Earbuds 2.0,"Camera quality could be better, overall okay.",4,Yes,2024-08-28,camera quality could better overall okay
46,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",5,No,2024-08-30,build quality feels cheap disappointing experience
47,Earbuds 2.0,Exceeded expectations! Will buy again.,3,Yes,2024-09-01,exceeded expectations buy
48,Laptop Pro,Exceeded expectations! Will buy again.,4,Yes,2024-09-03,exceeded expectations buy
49,Smartwatch Elite,"Fantastic value for money, highly recommended.",5,Yes,2024-09-05,fantastic value money highly recommended
50,Laptop Pro,"After a month of use, still works flawlessly.",3,Yes,2024-09-07,month use still works flawlessly
51,Smartphone X,"Fantastic value for money, highly recommended.",2,No,2024-09-09,fantastic value money highly recommended
52,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-09-11,display design absolutely stunning
53,Earbuds 2.0,"Faced issues with charging, had to return it.",1,Yes,2024-09-13,faced issues charging return
54,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-09-15,display design absolutely stunning
55,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-09-17,exceeded expectations buy
56,Laptop Pro,Exceeded expectations! Will buy again.,1,Yes,2024-09-19,exceeded expectations buy
57,Smartwatch Elite,The display and design are absolutely stunning.,5,Yes,2024-09-21,display design absolutely stunning
58,Laptop Pro,Exceeded expectations! Will buy again.,3,Yes,2024-09-23,exceeded expectations buy
59,Earbuds 2.0,User interface is clean and easy to navigate.,1,Yes,2024-09-25,user interface clean easy navigate
60,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2024-09-27,exceeded expectations buy
61,Laptop Pro,"Faced issues with charging, had to return it.",1,Yes,2024-09-29,faced issues charging return
62,Smartwatch Elite,"Sound quality is average, not worth the price.",2,Yes,2024-10-01,sound quality average worth price
63,Smartphone X,Exceeded expectations! Will buy again.,4,Yes,2024-10-03,exceeded expectations buy
64,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-05,fantastic value money highly recommended
65,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-10-07,sound quality average worth price
66,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2024-10-09,excellent battery life smooth performance
67,Smartwatch Elite,The display and design are absolutely stunning.,2,Yes,2024-10-11,display design absolutely stunning
68,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-13,fantastic value money highly recommended
69,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-10-15,faced issues charging return
70,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-10-17,month use still works flawlessly
71,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-10-19,sound quality average worth price
72,Laptop Pro,"Fantastic value for money, highly recommended.",1,Yes,2024-10-21,fantastic value money highly recommended
73,Laptop Pro,Exceeded expectations! Will buy again.,3,No,2024-10-23,exceeded expectations buy
74,Earbuds 2.0,"Build quality feels cheap, disappointing experience.",5,Yes,2024-10-25,build quality feels cheap disappointing experience
75,Smartphone X,"Faced issues with charging, had to return it.",1,Yes,2024-10-27,faced issues charging return
76,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-10-29,display design absolutely stunning
77,Smartphone X,"Faced issues with charging, had to return it.",4,Yes,2024-10-31,faced issues charging return
78,Earbuds 2.0,User interface is clean and easy to navigate.,4,Yes,2024-11-02,user interface clean easy navigate
79,Smartwatch Elite,Excellent battery life and smooth performance.,3,Yes,2024-11-04,excellent battery life smooth performance
80,Laptop Pro,Excellent battery life and smooth performance.,2,Yes,2024-11-06,excellent battery life smooth performance
81,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2024-11-08,excellent battery life smooth performance
82,Smartphone X,"Camera quality could be better, overall okay.",3,No,2024-11-10,camera quality could better overall okay
83,Laptop Pro,"Build quality feels cheap, disappointing experience.",4,Yes,2024-11-12,build quality feels cheap disappointing experience
84,Earbuds 2.0,"Camera quality could be better, overall okay.",4,Yes,2024-11-14,camera quality could better overall okay
85,Earbuds 2.0,"After a month of use, still works flawlessly.",3,Yes,2024-11-16,month use still works flawlessly
86,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2024-11-18,month use still works flawlessly
87,Earbuds 2.0,The display and design are absolutely stunning.,3,No,2024-11-20,display design absolutely stunning
88,Earbuds 2.0,"Faced issues with charging, had to return it.",1,Yes,2024-11-22,faced issues charging return
89,Earbuds 2.0,Exceeded expectations! Will buy again.,2,No,2024-11-24,exceeded expectations buy
90,Laptop Pro,"Build quality feels cheap, disappointing experience.",3,Yes,2024-11-26,build quality feels cheap disappointing experience
91,Smartphone X,"Sound quality is average, not worth the price.",2,Yes,2024-11-28,sound quality average worth price
92,Earbuds 2.0,"After a month of use, still works flawlessly.",2,Yes,2024-11-30,month use still works flawlessly
93,Earbuds 2.0,Excellent battery life and smooth performance.,2,No,2024-12-02,excellent battery life smooth performance
94,Smartphone X,The display and design are absolutely stunning.,1,Yes,2024-12-04,display design absolutely stunning
95,Earbuds 2.0,Excellent battery life and smooth performance.,2,Yes,2024-12-06,excellent battery life smooth performance
96,Laptop Pro,"Build quality feels cheap, disappointing experience.",5,Yes,2024-12-08,build quality feels cheap disappointing experience
97,Smartphone X,Exceeded expectations! Will buy again.,2,Yes,2024-12-10,exceeded expectations buy
98,Laptop Pro,"After a month of use, still works flawlessly.",4,Yes,2024-12-12,month use still works flawlessly
99,Smartwatch Elite,Excellent battery life and smooth performance.,1,Yes,2024-12-14,excellent battery life smooth performance
100,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2024-12-16,month use still works flawlessly
101,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,Yes,2024-12-18,fantastic value money highly recommended
102,Earbuds 2.0,"Fantastic value for money, highly recommended.",5,Yes,2024-12-20,fantastic value money highly recommended
103,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2024-12-22,camera quality could better overall okay
104,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-12-24,exceeded expectations buy
105,Smartphone X,"Faced issues with charging, had to return it.",5,Yes,2024-12-26,faced issues charging return
106,Smartwatch Elite,"Sound quality is average, not worth the price.",1,Yes,2024-12-28,sound quality average worth price
