review_id,review_text,rating,date
1,Product 1 quality could have been better.,3,2024-08-06
2,Product 2 quality could have been better.,2,2024-10-05
3,I bought this product 3 and it works great!,4,2024-09-15
4,Product 4 quality could have been better.,5,2024-04-08
5,Product 5 quality could have been better.,5,2024-08-12
6,I bought this product 6 and it works great!,5,2024-03-31
7,Product 7 quality could have been better.,5,2024-08-10
8,Product 8 quality could have been better.,5,2024-09-27
9,I bought this product 9 and it works great!,1,2024-03-13
10,Product 10 quality could have been better.,4,2024-04-04
11,Product 11 quality could have been better.,2,2024-03-16
12,I bought this product 12 and it works great!,1,2024-07-26
13,Product 13 quality could have been better.,2,2024-01-23
14,Product 14 quality could have been better.,5,2024-10-16
15,I bought this product 15 and it works great!,4,2024-02-10
16,Product 16 quality could have been better.,2,2024-10-16
17,Product 17 quality could have been better.,5,2024-01-29
18,I bought this product 18 and it works great!,5,2024-06-20
19,Product 19 quality could have been better.,2,2024-01-18
20,Product 20 quality could have been better.,4,2024-05-23
21,I bought this product 21 and it works great!,1,2024-10-07
22,Product 22 quality could have been better.,5,2024-09-01
23,Product 23 quality could have been better.,1,2024-04-11
24,I bought this product 24 and it works great!,1,2024-03-02
25,Product 25 quality could have been better.,3,2024-05-12
26,Product 26 quality could have been better.,4,2024-07-29
27,I bought this product 27 and it works great!,5,2024-02-16
28,Product 28 quality could have been better.,1,2024-03-15
29,Product 29 quality could have been better.,3,2024-05-20
30,I bought this product 30 and it works great!,5,2024-05-08
31,Product 31 quality could have been better.,2,2024-06-10
32,Product 32 quality could have been better.,1,2024-03-19
33,I bought this product 33 and it works great!,2,2024-06-07
34,Product 34 quality could have been better.,4,2024-06-24
35,Product 35 quality could have been better.,1,2024-01-01
36,I bought this product 36 and it works great!,4,2024-03-28
37,Product 37 quality could have been better.,3,2024-01-07
38,Product 38 quality could have been better.,5,2024-10-04
39,I bought this product 39 and it works great!,5,2024-08-21
40,Product 40 quality could have been better.,5,2024-01-31
41,Product 41 quality could have been better.,2,2024-07-07
42,I bought this product 42 and it works great!,2,2024-01-17
43,Product 43 quality could have been better.,1,2024-05-22
44,Product 44 quality could have been better.,5,2024-09-03
45,I bought this product 45 and it works great!,4,2024-05-18
46,Product 46 quality could have been better.,3,2024-01-01
