headline_id,source,headline_text,category,published_date,cleaned_text,sentiment_score,sentiment_label
1,BBC,Consumer confidence grows as GDP expands in Q3.,Business,2024-03-01,consumer confidence grows gdp expands,0.28595,Positive
2,Reuters,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-03-02,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
3,Reuters,Major brand unveils sustainability roadmap for 2030.,Business,2024-03-03,major brand unveils sustainability roadmap,0.03125,Neutral
4,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Finance,2024-03-04,consumer confidence grows gdp expands,0.28595,Positive
5,Bloomberg,Innovative startups disrupt traditional retail ecosystems.,Policy,2024-03-05,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
6,BBC,Market volatility rises after unexpected inflation data.,Finance,2024-03-06,market volatility rises unexpected inflation data,0.05,Neutral
7,BBC,Consumer confidence grows as GDP expands in Q3.,Business,2024-03-07,consumer confidence grows gdp expands,0.28595,Positive
8,Reuters,New regulations impact data privacy and compliance trends.,Finance,2024-03-08,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
9,Forbes,Major brand unveils sustainability roadmap for 2030.,Finance,2024-03-09,major brand unveils sustainability roadmap,0.03125,Neutral
10,TechCrunch,E-commerce sees record sales during holiday season.,Policy,2024-03-10,ecommerce sees record sales holiday season,0.20095,Positive
11,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Finance,2024-03-11,consumer confidence grows gdp expands,0.28595,Positive
12,Forbes,Central banks signal interest rate adjustments next quarter.,Technology,2024-03-12,central banks signal interest rate adjustments next quarter,0.2294,Positive
13,Forbes,Consumer confidence grows as GDP expands in Q3.,Markets,2024-03-13,consumer confidence grows gdp expands,0.28595,Positive
14,Forbes,Cloud computing adoption accelerates across industries.,Business,2024-03-14,cloud computing adoption accelerates across industries,0.0,Neutral
15,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Markets,2024-03-15,tech giants see surge stock prices amid boom,0.0,Neutral
16,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Finance,2024-03-16,consumer confidence grows gdp expands,0.28595,Positive
17,Forbes,Market volatility rises after unexpected inflation data.,Markets,2024-03-17,market volatility rises unexpected inflation data,0.05,Neutral
18,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Technology,2024-03-18,tech giants see surge stock prices amid boom,0.0,Neutral
19,Forbes,Central banks signal interest rate adjustments next quarter.,Policy,2024-03-19,central banks signal interest rate adjustments next quarter,0.2294,Positive
20,Reuters,Energy sector rebounds as oil prices stabilize.,Markets,2024-03-20,energy sector rebounds oil prices stabilize,0.1366,Positive
21,BBC,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-03-21,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
22,BBC,Energy sector rebounds as oil prices stabilize.,Technology,2024-03-22,energy sector rebounds oil prices stabilize,0.1366,Positive
23,TechCrunch,Consumer confidence grows as GDP expands in Q3.,Technology,2024-03-23,consumer confidence grows gdp expands,0.28595,Positive
24,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Policy,2024-03-24,consumer confidence grows gdp expands,0.28595,Positive
25,Reuters,Energy sector rebounds as oil prices stabilize.,Policy,2024-03-25,energy sector rebounds oil prices stabilize,0.1366,Positive
26,Forbes,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-03-26,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
27,Forbes,Tech giants see surge in stock prices amid AI boom.,Markets,2024-03-27,tech giants see surge stock prices amid boom,0.0,Neutral
28,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Markets,2024-03-28,tech giants see surge stock prices amid boom,0.0,Neutral
29,Forbes,Tech giants see surge in stock prices amid AI boom.,Business,2024-03-29,tech giants see surge stock prices amid boom,0.0,Neutral
30,Bloomberg,Cloud computing adoption accelerates across industries.,Technology,2024-03-30,cloud computing adoption accelerates across industries,0.0,Neutral
31,BBC,E-commerce sees record sales during holiday season.,Business,2024-03-31,ecommerce sees record sales holiday season,0.20095,Positive
32,Bloomberg,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-04-01,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
33,BBC,Energy sector rebounds as oil prices stabilize.,Business,2024-04-02,energy sector rebounds oil prices stabilize,0.1366,Positive
34,Bloomberg,Cloud computing adoption accelerates across industries.,Policy,2024-04-03,cloud computing adoption accelerates across industries,0.0,Neutral
35,Forbes,E-commerce sees record sales during holiday season.,Markets,2024-04-04,ecommerce sees record sales holiday season,0.20095,Positive
36,Forbes,Market volatility rises after unexpected inflation data.,Business,2024-04-05,market volatility rises unexpected inflation data,0.05,Neutral
37,Bloomberg,Market volatility rises after unexpected inflation data.,Finance,2024-04-06,market volatility rises unexpected inflation data,0.05,Neutral
38,Bloomberg,Cloud computing adoption accelerates across industries.,Markets,2024-04-07,cloud computing adoption accelerates across industries,0.0,Neutral
39,Forbes,Energy sector rebounds as oil prices stabilize.,Markets,2024-04-08,energy sector rebounds oil prices stabilize,0.1366,Positive
40,BBC,Energy sector rebounds as oil prices stabilize.,Markets,2024-04-09,energy sector rebounds oil prices stabilize,0.1366,Positive
41,Forbes,Consumer confidence grows as GDP expands in Q3.,Technology,2024-04-10,consumer confidence grows gdp expands,0.28595,Positive
42,Bloomberg,New regulations impact data privacy and compliance trends.,Business,2024-04-11,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
43,BBC,Innovative startups disrupt traditional retail ecosystems.,Finance,2024-04-12,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
44,Forbes,Market volatility rises after unexpected inflation data.,Technology,2024-04-13,market volatility rises unexpected inflation data,0.05,Neutral
45,Bloomberg,New regulations impact data privacy and compliance trends.,Technology,2024-04-14,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
46,Bloomberg,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-04-15,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
47,BBC,Central banks signal interest rate adjustments next quarter.,Finance,2024-04-16,central banks signal interest rate adjustments next quarter,0.2294,Positive
48,Reuters,Cloud computing adoption accelerates across industries.,Business,2024-04-17,cloud computing adoption accelerates across industries,0.0,Neutral
49,TechCrunch,Major brand unveils sustainability roadmap for 2030.,Policy,2024-04-18,major brand unveils sustainability roadmap,0.03125,Neutral
50,Bloomberg,New regulations impact data privacy and compliance trends.,Finance,2024-04-19,new regulations impact data privacy compliance trends,0.06818181818181818,Positive
51,BBC,Major brand unveils sustainability roadmap for 2030.,Finance,2024-04-20,major brand unveils sustainability roadmap,0.03125,Neutral
52,Forbes,Energy sector rebounds as oil prices stabilize.,Business,2024-04-21,energy sector rebounds oil prices stabilize,0.1366,Positive
