tweet_id,username,tweet_text,likes,retweets,timestamp,cleaned_text,sentiment_score,sentiment_label
1,user_1,Great initiative for sustainability and eco packaging.,553,80,2024-01-01,great initiative sustainability eco packaging,0.71245,Positive
2,user_2,Highly recommend this product — excellent value!,728,220,2024-01-02,highly recommend product excellent value,0.7132000000000001,Positive
3,user_3,Love the new product launch! Great innovation and design.,239,246,2024-01-03,love new product launch great innovation design,0.6883439393939395,Positive
4,user_4,"Disappointed with the recent update, app keeps crashing.",552,234,2024-01-04,disappointed recent update app keeps crashing,-0.42585,Negative
5,user_5,This product didn’t live up to the hype.,122,298,2024-01-05,product didnt live hype,0.06818181818181818,Positive
6,user_6,Great initiative for sustainability and eco packaging.,464,296,2024-01-06,great initiative sustainability eco packaging,0.71245,Positive
7,user_7,"Disappointed with the recent update, app keeps crashing.",173,193,2024-01-07,disappointed recent update app keeps crashing,-0.42585,Negative
8,user_8,Love the new product launch! Great innovation and design.,962,36,2024-01-08,love new product launch great innovation design,0.6883439393939395,Positive
9,user_9,Not happy with the delivery delay this week.,95,2,2024-01-09,happy delivery delay week,0.5700000000000001,Positive
10,user_10,This brand keeps getting better every year!,626,122,2024-01-10,brand keeps getting better every year,0.4702,Positive
11,user_11,Love the new product launch! Great innovation and design.,877,113,2024-01-11,love new product launch great innovation design,0.6883439393939395,Positive
12,user_12,Highly recommend this product — excellent value!,923,208,2024-01-12,highly recommend product excellent value,0.7132000000000001,Positive
13,user_13,"Disappointed with the recent update, app keeps crashing.",763,2,2024-01-13,disappointed recent update app keeps crashing,-0.42585,Negative
14,user_14,Amazing customer support — resolved my issue instantly!,471,105,2024-01-14,amazing customer support resolved issue instantly,0.551,Positive
15,user_15,I’m skeptical about the new pricing strategy.,214,57,2024-01-15,skeptical new pricing strategy,-0.2500090909090909,Negative
16,user_16,Love the new product launch! Great innovation and design.,937,157,2024-01-16,love new product launch great innovation design,0.6883439393939395,Positive
17,user_17,Highly recommend this product — excellent value!,129,189,2024-01-17,highly recommend product excellent value,0.7132000000000001,Positive
18,user_18,Not happy with the delivery delay this week.,650,5,2024-01-18,happy delivery delay week,0.5700000000000001,Positive
19,user_19,This brand keeps getting better every year!,828,166,2024-01-19,brand keeps getting better every year,0.4702,Positive
20,user_20,Love the new product launch! Great innovation and design.,202,204,2024-01-20,love new product launch great innovation design,0.6883439393939395,Positive
21,user_21,Great initiative for sustainability and eco packaging.,336,293,2024-01-21,great initiative sustainability eco packaging,0.71245,Positive
22,user_22,Amazing customer support — resolved my issue instantly!,846,248,2024-01-22,amazing customer support resolved issue instantly,0.551,Positive
23,user_23,This product didn’t live up to the hype.,454,39,2024-01-23,product didnt live hype,0.06818181818181818,Positive
