tweet_id,tweet_text,likes,retweets,date
1,"Negative reactions increasing for product 1, users complaining online.",456,88,2024-01-08
2,"People are talking about product launch 2, expectations look positive!",125,191,2024-08-23
3,"Negative reactions increasing for product 3, users complaining online.",316,39,2024-07-14
4,"People are talking about product launch 4, expectations look positive!",48,163,2024-09-07
5,"Negative reactions increasing for product 5, users complaining online.",453,197,2024-01-27
6,"People are talking about product launch 6, expectations look positive!",407,172,2024-06-25
7,"Negative reactions increasing for product 7, users complaining online.",448,219,2024-02-02
8,"People are talking about product launch 8, expectations look positive!",363,20,2024-09-11
9,"Negative reactions increasing for product 9, users complaining online.",146,110,2024-05-30
10,"People are talking about product launch 10, expectations look positive!",107,175,2024-09-01
11,"Negative reactions increasing for product 11, users complaining online.",478,24,2024-05-29
12,"People are talking about product launch 12, expectations look positive!",79,20,2024-05-11
13,"Negative reactions increasing for product 13, users complaining online.",265,76,2024-02-02
14,"People are talking about product launch 14, expectations look positive!",228,148,2024-05-31
15,"Negative reactions increasing for product 15, users complaining online.",426,245,2024-07-18
16,"People are talking about product launch 16, expectations look positive!",376,42,2024-02-27
17,"Negative reactions increasing for product 17, users complaining online.",271,264,2024-04-30
18,"People are talking about product launch 18, expectations look positive!",213,252,2024-01-13
19,"Negative reactions increasing for product 19, users complaining online.",86,101,2024-02-16
20,"People are talking about product launch 20, expectations look positive!",446,219,2024-08-28
21,"Negative reactions increasing for product 21, users complaining online.",468,163,2024-09-26
22,"People are talking about product launch 22, expectations look positive!",113,230,2024-06-14
23,"Negative reactions increasing for product 23, users complaining online.",138,229,2024-08-15
24,"People are talking about product launch 24, expectations look positive!",69,28,2024-08-10
25,"Negative reactions increasing for product 25, users complaining online.",256,119,2024-02-13
26,"People are talking about product launch 26, expectations look positive!",358,237,2024-10-07
27,"Negative reactions increasing for product 27, users complaining online.",490,255,2024-07-29
28,"People are talking about product launch 28, expectations look positive!",43,109,2024-07-30
29,"Negative reactions increasing for product 29, users complaining online.",164,283,2024-02-14
30,"People are talking about product launch 30, expectations look positive!",141,245,2024-04-02
31,"Negative reactions increasing for product 31, users complaining online.",95,287,2024-02-28
32,"People are talking about product launch 32, expectations look positive!",3,11,2024-10-11
33,"Negative reactions increasing for product 33, users complaining online.",422,245,2024-09-16
34,"People are talking about product launch 34, expectations look positive!",286,237,2024-08-05
35,"Negative reactions increasing for product 35, users complaining online.",331,72,2024-04-30
36,"People are talking about product launch 36, expectations look positive!",435,215,2024-01-05
37,"Negative reactions increasing for product 37, users complaining online.",45,130,2024-07-13
38,"People are talking about product launch 38, expectations look positive!",376,70,2024-06-12
39,"Negative reactions increasing for product 39, users complaining online.",82,168,2024-03-06
40,"People are talking about product launch 40, expectations look positive!",13,288,2024-10-10
41,"Negative reactions increasing for product 41, users complaining online.",224,199,2024-06-28
42,"People are talking about product launch 42, expectations look positive!",180,248,2024-09-16
43,"Negative reactions increasing for product 43, users complaining online.",347,16,2024-07-04
44,"People are talking about product launch 44, expectations look positive!",264,225,2024-10-01
45,"Negative reactions increasing for product 45, users complaining online.",401,271,2024-07-02
46,"People are talking about product launch 46, expectations look positive!",76,141,2024-03-22
47,"Negative reactions increasing for product 47, users complaining online.",215,298,2024-09-11
48,"People are talking about product launch 48, expectations look positive!",397,181,2024-01-14
49,"Negative reactions increasing for product 49, users complaining online.",465,43,2024-03-02
50,"People are talking about product launch 50, expectations look positive!",340,171,2024-05-12
51,"Negative reactions increasing for product 51, users complaining online.",143,206,2024-05-06
52,"People are talking about product launch 52, expectations look positive!",87,58,2024-07-03
53,"Negative reactions increasing for product 53, users complaining online.",334,246,2024-05-11
54,"People are talking about product launch 54, expectations look positive!",185,257,2024-04-30
55,"Negative reactions increasing for product 55, users complaining online.",252,123,2024-09-06
56,"People are talking about product launch 56, expectations look positive!",35,271,2024-04-17
57,"Negative reactions increasing for product 57, users complaining online.",343,200,2024-07-11
58,"People are talking about product launch 58, expectations look positive!",257,75,2024-10-05
59,"Negative reactions increasing for product 59, users complaining online.",183,3,2024-03-31
60,"People are talking about product launch 60, expectations look positive!",80,201,2024-02-02
61,"Negative reactions increasing for product 61, users complaining online.",185,249,2024-06-21
62,"People are talking about product launch 62, expectations look positive!",234,57,2024-08-24
63,"Negative reactions increasing for product 63, users complaining online.",103,254,2024-09-07
64,"People are talking about product launch 64, expectations look positive!",62,77,2024-10-11
65,"Negative reactions increasing for product 65, users complaining online.",193,297,2024-02-23
66,"People are talking about product launch 66, expectations look positive!",381,162,2024-09-05
67,"Negative reactions increasing for product 67, users complaining online.",354,113,2024-05-31
68,"People are talking about product launch 68, expectations look positive!",65,175,2024-05-14
69,"Negative reactions increasing for product 69, users complaining online.",93,49,2024-02-25
70,"People are talking about product launch 70, expectations look positive!",131,168,2024-04-23
71,"Negative reactions increasing for product 71, users complaining online.",405,114,2024-06-23
72,"People are talking about product launch 72, expectations look positive!",234,43,2024-09-25
73,"Negative reactions increasing for product 73, users complaining online.",210,255,2024-02-17
74,"People are talking about product launch 74, expectations look positive!",379,285,2024-08-05
75,"Negative reactions increasing for product 75, users complaining online.",215,160,2024-02-12
76,"People are talking about product launch 76, expectations look positive!",230,50,2024-02-26
77,"Negative reactions increasing for product 77, users complaining online.",16,43,2024-08-29
78,"People are talking about product launch 78, expectations look positive!",343,245,2024-01-07
79,"Negative reactions increasing for product 79, users complaining online.",224,39,2024-03-07
