review_id,product_name,review_text,rating,verified_purchase,review_date,cleaned_text,sentiment_score,sentiment_label
1,Smartphone X,The display and design are absolutely stunning.,1,Yes,2024-06-01,display design absolutely stunning,0.46955,Positive
2,Smartwatch Elite,"Sound quality is average, not worth the price.",3,No,2024-06-03,sound quality average worth price,0.20481666666666667,Positive
3,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-06-05,month use still works flawlessly,0.60115,Positive
4,Smartphone X,Excellent battery life and smooth performance.,5,No,2024-06-07,excellent battery life smooth performance,0.63595,Positive
5,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-06-09,faced issues charging return,0.0,Neutral
6,Laptop Pro,Excellent battery life and smooth performance.,2,Yes,2024-06-11,excellent battery life smooth performance,0.63595,Positive
7,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-06-13,sound quality average worth price,0.20481666666666667,Positive
8,Laptop Pro,User interface is clean and easy to navigate.,2,Yes,2024-06-15,user interface clean easy navigate,0.5404,Positive
9,Laptop Pro,User interface is clean and easy to navigate.,5,Yes,2024-06-17,user interface clean easy navigate,0.5404,Positive
10,Smartwatch Elite,"Fantastic value for money, highly recommended.",3,Yes,2024-06-19,fantastic value money highly recommended,0.538,Positive
11,Smartphone X,The display and design are absolutely stunning.,3,Yes,2024-06-21,display design absolutely stunning,0.46955,Positive
12,Smartwatch Elite,Exceeded expectations! Will buy again.,4,Yes,2024-06-23,exceeded expectations buy,0.0,Neutral
13,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-06-25,exceeded expectations buy,0.0,Neutral
14,Earbuds 2.0,"Fantastic value for money, highly recommended.",1,Yes,2024-06-27,fantastic value money highly recommended,0.538,Positive
15,Smartwatch Elite,"Fantastic value for money, highly recommended.",2,Yes,2024-06-29,fantastic value money highly recommended,0.538,Positive
16,Laptop Pro,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-01,build quality feels cheap disappointing experience,-0.29695,Negative
17,Smartphone X,User interface is clean and easy to navigate.,3,Yes,2024-07-03,user interface clean easy navigate,0.5404,Positive
18,Earbuds 2.0,"Faced issues with charging, had to return it.",5,Yes,2024-07-05,faced issues charging return,0.0,Neutral
19,Laptop Pro,"Fantastic value for money, highly recommended.",5,Yes,2024-07-07,fantastic value money highly recommended,0.538,Positive
20,Earbuds 2.0,"Camera quality could be better, overall okay.",5,Yes,2024-07-09,camera quality could better overall okay,0.4596166666666667,Positive
21,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-07-11,month use still works flawlessly,0.60115,Positive
22,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-07-13,exceeded expectations buy,0.0,Neutral
23,Smartphone X,"Build quality feels cheap, disappointing experience.",1,No,2024-07-15,build quality feels cheap disappointing experience,-0.29695,Negative
24,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-07-17,exceeded expectations buy,0.0,Neutral
25,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-07-19,month use still works flawlessly,0.60115,Positive
26,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-07-21,month use still works flawlessly,0.60115,Positive
27,Smartwatch Elite,User interface is clean and easy to navigate.,5,Yes,2024-07-23,user interface clean easy navigate,0.5404,Positive
28,Smartwatch Elite,"Faced issues with charging, had to return it.",4,Yes,2024-07-25,faced issues charging return,0.0,Neutral
29,Smartwatch Elite,Excellent battery life and smooth performance.,1,Yes,2024-07-27,excellent battery life smooth performance,0.63595,Positive
30,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-07-29,display design absolutely stunning,0.46955,Positive
31,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-31,build quality feels cheap disappointing experience,-0.29695,Negative
32,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-08-02,display design absolutely stunning,0.46955,Positive
33,Laptop Pro,"Build quality feels cheap, disappointing experience.",5,Yes,2024-08-04,build quality feels cheap disappointing experience,-0.29695,Negative
34,Smartwatch Elite,User interface is clean and easy to navigate.,1,Yes,2024-08-06,user interface clean easy navigate,0.5404,Positive
35,Smartphone X,"Sound quality is average, not worth the price.",4,Yes,2024-08-08,sound quality average worth price,0.20481666666666667,Positive
36,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-10,sound quality average worth price,0.20481666666666667,Positive
37,Smartwatch Elite,User interface is clean and easy to navigate.,3,No,2024-08-12,user interface clean easy navigate,0.5404,Positive
38,Earbuds 2.0,Excellent battery life and smooth performance.,3,Yes,2024-08-14,excellent battery life smooth performance,0.63595,Positive
39,Smartphone X,"Fantastic value for money, highly recommended.",1,Yes,2024-08-16,fantastic value money highly recommended,0.538,Positive
40,Earbuds 2.0,The display and design are absolutely stunning.,1,No,2024-08-18,display design absolutely stunning,0.46955,Positive
41,Earbuds 2.0,Excellent battery life and smooth performance.,5,Yes,2024-08-20,excellent battery life smooth performance,0.63595,Positive
42,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-22,sound quality average worth price,0.20481666666666667,Positive
43,Smartwatch Elite,"Camera quality could be better, overall okay.",2,Yes,2024-08-24,camera quality could better overall okay,0.4596166666666667,Positive
44,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-08-26,month use still works flawlessly,0.60115,Positive
45,Earbuds 2.0,"Camera quality could be better, overall okay.",4,Yes,2024-08-28,camera quality could better overall okay,0.4596166666666667,Positive
46,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",5,No,2024-08-30,build quality feels cheap disappointing experience,-0.29695,Negative
47,Earbuds 2.0,Exceeded expectations! Will buy again.,3,Yes,2024-09-01,exceeded expectations buy,0.0,Neutral
48,Laptop Pro,Exceeded expectations! Will buy again.,4,Yes,2024-09-03,exceeded expectations buy,0.0,Neutral
49,Smartwatch Elite,"Fantastic value for money, highly recommended.",5,Yes,2024-09-05,fantastic value money highly recommended,0.538,Positive
50,Laptop Pro,"After a month of use, still works flawlessly.",3,Yes,2024-09-07,month use still works flawlessly,0.60115,Positive
51,Smartphone X,"Fantastic value for money, highly recommended.",2,No,2024-09-09,fantastic value money highly recommended,0.538,Positive
52,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-09-11,display design absolutely stunning,0.46955,Positive
53,Earbuds 2.0,"Faced issues with charging, had to return it.",1,Yes,2024-09-13,faced issues charging return,0.0,Neutral
54,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-09-15,display design absolutely stunning,0.46955,Positive
55,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-09-17,exceeded expectations buy,0.0,Neutral
56,Laptop Pro,Exceeded expectations! Will buy again.,1,Yes,2024-09-19,exceeded expectations buy,0.0,Neutral
57,Smartwatch Elite,The display and design are absolutely stunning.,5,Yes,2024-09-21,display design absolutely stunning,0.46955,Positive
58,Laptop Pro,Exceeded expectations! Will buy again.,3,Yes,2024-09-23,exceeded expectations buy,0.0,Neutral
59,Earbuds 2.0,User interface is clean and easy to navigate.,1,Yes,2024-09-25,user interface clean easy navigate,0.5404,Positive
60,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2024-09-27,exceeded expectations buy,0.0,Neutral
61,Laptop Pro,"Faced issues with charging, had to return it.",1,Yes,2024-09-29,faced issues charging return,0.0,Neutral
62,Smartwatch Elite,"Sound quality is average, not worth the price.",2,Yes,2024-10-01,sound quality average worth price,0.20481666666666667,Positive
63,Smartphone X,Exceeded expectations! Will buy again.,4,Yes,2024-10-03,exceeded expectations buy,0.0,Neutral
64,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-05,fantastic value money highly recommended,0.538,Positive
65,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-10-07,sound quality average worth price,0.20481666666666667,Positive
66,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2024-10-09,excellent battery life smooth performance,0.63595,Positive
67,Smartwatch Elite,The display and design are absolutely stunning.,2,Yes,2024-10-11,display design absolutely stunning,0.46955,Positive
68,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-13,fantastic value money highly recommended,0.538,Positive
69,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-10-15,faced issues charging return,0.0,Neutral
70,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-10-17,month use still works flawlessly,0.60115,Positive
71,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-10-19,sound quality average worth price,0.20481666666666667,Positive
72,Laptop Pro,"Fantastic value for money, highly recommended.",1,Yes,2024-10-21,fantastic value money highly recommended,0.538,Positive
73,Laptop Pro,Exceeded expectations! Will buy again.,3,No,2024-10-23,exceeded expectations buy,0.0,Neutral
74,Earbuds 2.0,"Build quality feels cheap, disappointing experience.",5,Yes,2024-10-25,build quality feels cheap disappointing experience,-0.29695,Negative
75,Smartphone X,"Faced issues with charging, had to return it.",1,Yes,2024-10-27,faced issues charging return,0.0,Neutral
76,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-10-29,display design absolutely stunning,0.46955,Positive
