tweet_id,username,tweet_text,likes,retweets,timestamp,cleaned_text
1,user_1,Great initiative for sustainability and eco packaging.,553,80,2024-01-01,great initiative sustainability eco packaging
2,user_2,Highly recommend this product — excellent value!,728,220,2024-01-02,highly recommend product excellent value
3,user_3,Love the new product launch! Great innovation and design.,239,246,2024-01-03,love new product launch great innovation design
4,user_4,"Disappointed with the recent update, app keeps crashing.",552,234,2024-01-04,disappointed recent update app keeps crashing
5,user_5,This product didn’t live up to the hype.,122,298,2024-01-05,product didnt live hype
6,user_6,Great initiative for sustainability and eco packaging.,464,296,2024-01-06,great initiative sustainability eco packaging
7,user_7,"Disappointed with the recent update, app keeps crashing.",173,193,2024-01-07,disappointed recent update app keeps crashing
8,user_8,Love the new product launch! Great innovation and design.,962,36,2024-01-08,love new product launch great innovation design
9,user_9,Not happy with the delivery delay this week.,95,2,2024-01-09,happy delivery delay week
10,user_10,This brand keeps getting better every year!,626,122,2024-01-10,brand keeps getting better every year
11,user_11,Love the new product launch! Great innovation and design.,877,113,2024-01-11,love new product launch great innovation design
12,user_12,Highly recommend this product — excellent value!,923,208,2024-01-12,highly recommend product excellent value
13,user_13,"Disappointed with the recent update, app keeps crashing.",763,2,2024-01-13,disappointed recent update app keeps crashing
14,user_14,Amazing customer support — resolved my issue instantly!,471,105,2024-01-14,amazing customer support resolved issue instantly
15,user_15,I’m skeptical about the new pricing strategy.,214,57,2024-01-15,skeptical new pricing strategy
16,user_16,Love the new product launch! Great innovation and design.,937,157,2024-01-16,love new product launch great innovation design
17,user_17,Highly recommend this product — excellent value!,129,189,2024-01-17,highly recommend product excellent value
18,user_18,Not happy with the delivery delay this week.,650,5,2024-01-18,happy delivery delay week
19,user_19,This brand keeps getting better every year!,828,166,2024-01-19,brand keeps getting better every year
20,user_20,Love the new product launch! Great innovation and design.,202,204,2024-01-20,love new product launch great innovation design
21,user_21,Great initiative for sustainability and eco packaging.,336,293,2024-01-21,great initiative sustainability eco packaging
22,user_22,Amazing customer support — resolved my issue instantly!,846,248,2024-01-22,amazing customer support resolved issue instantly
23,user_23,This product didn’t live up to the hype.,454,39,2024-01-23,product didnt live hype
24,user_24,Love the new product launch! Great innovation and design.,301,95,2024-01-24,love new product launch great innovation design
25,user_25,The ad campaign was creative but missed the mark.,418,213,2024-01-25,campaign creative missed mark
26,user_26,Not happy with the delivery delay this week.,911,202,2024-01-26,happy delivery delay week
27,user_27,I’m skeptical about the new pricing strategy.,557,26,2024-01-27,skeptical new pricing strategy
28,user_28,Love the new product launch! Great innovation and design.,119,21,2024-01-28,love new product launch great innovation design
29,user_29,"Disappointed with the recent update, app keeps crashing.",367,16,2024-01-29,disappointed recent update app keeps crashing
30,user_30,Love the new product launch! Great innovation and design.,53,221,2024-01-30,love new product launch great innovation design
31,user_31,Great initiative for sustainability and eco packaging.,950,182,2024-01-31,great initiative sustainability eco packaging
32,user_32,This brand keeps getting better every year!,975,268,2024-02-01,brand keeps getting better every year
33,user_33,Great initiative for sustainability and eco packaging.,152,277,2024-02-02,great initiative sustainability eco packaging
34,user_34,I’m skeptical about the new pricing strategy.,333,34,2024-02-03,skeptical new pricing strategy
35,user_35,Highly recommend this product — excellent value!,891,101,2024-02-04,highly recommend product excellent value
36,user_36,Highly recommend this product — excellent value!,229,47,2024-02-05,highly recommend product excellent value
37,user_37,Love the new product launch! Great innovation and design.,889,128,2024-02-06,love new product launch great innovation design
38,user_38,Love the new product launch! Great innovation and design.,61,136,2024-02-07,love new product launch great innovation design
39,user_39,Great initiative for sustainability and eco packaging.,890,80,2024-02-08,great initiative sustainability eco packaging
40,user_40,Highly recommend this product — excellent value!,87,264,2024-02-09,highly recommend product excellent value
41,user_41,This brand keeps getting better every year!,810,61,2024-02-10,brand keeps getting better every year
42,user_42,Not happy with the delivery delay this week.,74,269,2024-02-11,happy delivery delay week
43,user_43,Highly recommend this product — excellent value!,931,142,2024-02-12,highly recommend product excellent value
44,user_44,Amazing customer support — resolved my issue instantly!,811,199,2024-02-13,amazing customer support resolved issue instantly
45,user_45,Great initiative for sustainability and eco packaging.,679,115,2024-02-14,great initiative sustainability eco packaging
46,user_46,The ad campaign was creative but missed the mark.,565,260,2024-02-15,campaign creative missed mark
47,user_47,"Disappointed with the recent update, app keeps crashing.",304,50,2024-02-16,disappointed recent update app keeps crashing
48,user_48,This brand keeps getting better every year!,412,270,2024-02-17,brand keeps getting better every year
49,user_49,Love the new product launch! Great innovation and design.,774,8,2024-02-18,love new product launch great innovation design
50,user_50,The ad campaign was creative but missed the mark.,133,263,2024-02-19,campaign creative missed mark
51,user_51,I’m skeptical about the new pricing strategy.,48,223,2024-02-20,skeptical new pricing strategy
52,user_52,Great initiative for sustainability and eco packaging.,306,26,2024-02-21,great initiative sustainability eco packaging
