review_id,product_name,review_text,rating,verified_purchase,review_date
1,Smartphone X,The display and design are absolutely stunning.,1,Yes,2024-06-01
2,Smartwatch Elite,"Sound quality is average, not worth the price.",3,No,2024-06-03
3,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-06-05
4,Smartphone X,Excellent battery life and smooth performance.,5,No,2024-06-07
5,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-06-09
6,Laptop Pro,Excellent battery life and smooth performance.,2,Yes,2024-06-11
7,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-06-13
8,Laptop Pro,User interface is clean and easy to navigate.,2,Yes,2024-06-15
9,Laptop Pro,User interface is clean and easy to navigate.,5,Yes,2024-06-17
10,Smartwatch Elite,"Fantastic value for money, highly recommended.",3,Yes,2024-06-19
11,Smartphone X,The display and design are absolutely stunning.,3,Yes,2024-06-21
12,Smartwatch Elite,Exceeded expectations! Will buy again.,4,Yes,2024-06-23
13,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-06-25
14,Earbuds 2.0,"Fantastic value for money, highly recommended.",1,Yes,2024-06-27
15,Smartwatch Elite,"Fantastic value for money, highly recommended.",2,Yes,2024-06-29
16,Laptop Pro,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-01
17,Smartphone X,User interface is clean and easy to navigate.,3,Yes,2024-07-03
18,Earbuds 2.0,"Faced issues with charging, had to return it.",5,Yes,2024-07-05
19,Laptop Pro,"Fantastic value for money, highly recommended.",5,Yes,2024-07-07
20,Earbuds 2.0,"Camera quality could be better, overall okay.",5,Yes,2024-07-09
21,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2024-07-11
22,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-07-13
23,Smartphone X,"Build quality feels cheap, disappointing experience.",1,No,2024-07-15
24,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-07-17
25,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-07-19
26,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-07-21
27,Smartwatch Elite,User interface is clean and easy to navigate.,5,Yes,2024-07-23
28,Smartwatch Elite,"Faced issues with charging, had to return it.",4,Yes,2024-07-25
29,Smartwatch Elite,Excellent battery life and smooth performance.,1,Yes,2024-07-27
30,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-07-29
31,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",4,Yes,2024-07-31
32,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-08-02
33,Laptop Pro,"Build quality feels cheap, disappointing experience.",5,Yes,2024-08-04
34,Smartwatch Elite,User interface is clean and easy to navigate.,1,Yes,2024-08-06
35,Smartphone X,"Sound quality is average, not worth the price.",4,Yes,2024-08-08
36,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-10
37,Smartwatch Elite,User interface is clean and easy to navigate.,3,No,2024-08-12
38,Earbuds 2.0,Excellent battery life and smooth performance.,3,Yes,2024-08-14
39,Smartphone X,"Fantastic value for money, highly recommended.",1,Yes,2024-08-16
40,Earbuds 2.0,The display and design are absolutely stunning.,1,No,2024-08-18
41,Earbuds 2.0,Excellent battery life and smooth performance.,5,Yes,2024-08-20
42,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-08-22
43,Smartwatch Elite,"Camera quality could be better, overall okay.",2,Yes,2024-08-24
44,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2024-08-26
45,Earbuds 2.0,"Camera quality could be better, overall okay.",4,Yes,2024-08-28
46,Smartwatch Elite,"Build quality feels cheap, disappointing experience.",5,No,2024-08-30
47,Earbuds 2.0,Exceeded expectations! Will buy again.,3,Yes,2024-09-01
48,Laptop Pro,Exceeded expectations! Will buy again.,4,Yes,2024-09-03
49,Smartwatch Elite,"Fantastic value for money, highly recommended.",5,Yes,2024-09-05
50,Laptop Pro,"After a month of use, still works flawlessly.",3,Yes,2024-09-07
51,Smartphone X,"Fantastic value for money, highly recommended.",2,No,2024-09-09
52,Smartphone X,The display and design are absolutely stunning.,5,Yes,2024-09-11
53,Earbuds 2.0,"Faced issues with charging, had to return it.",1,Yes,2024-09-13
54,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-09-15
55,Earbuds 2.0,Exceeded expectations! Will buy again.,1,Yes,2024-09-17
56,Laptop Pro,Exceeded expectations! Will buy again.,1,Yes,2024-09-19
