tweet_id,username,tweet_text,likes,retweets,timestamp
1,user_1,Great initiative for sustainability and eco packaging.,553,80,2024-01-01
2,user_2,Highly recommend this product — excellent value!,728,220,2024-01-02
3,user_3,Love the new product launch! Great innovation and design.,239,246,2024-01-03
4,user_4,"Disappointed with the recent update, app keeps crashing.",552,234,2024-01-04
5,user_5,This product didn’t live up to the hype.,122,298,2024-01-05
6,user_6,Great initiative for sustainability and eco packaging.,464,296,2024-01-06
7,user_7,"Disappointed with the recent update, app keeps crashing.",173,193,2024-01-07
8,user_8,Love the new product launch! Great innovation and design.,962,36,2024-01-08
9,user_9,Not happy with the delivery delay this week.,95,2,2024-01-09
10,user_10,This brand keeps getting better every year!,626,122,2024-01-10
11,user_11,Love the new product launch! Great innovation and design.,877,113,2024-01-11
12,user_12,Highly recommend this product — excellent value!,923,208,2024-01-12
13,user_13,"Disappointed with the recent update, app keeps crashing.",763,2,2024-01-13
14,user_14,Amazing customer support — resolved my issue instantly!,471,105,2024-01-14
15,user_15,I’m skeptical about the new pricing strategy.,214,57,2024-01-15
16,user_16,Love the new product launch! Great innovation and design.,937,157,2024-01-16
17,user_17,Highly recommend this product — excellent value!,129,189,2024-01-17
18,user_18,Not happy with the delivery delay this week.,650,5,2024-01-18
19,user_19,This brand keeps getting better every year!,828,166,2024-01-19
20,user_20,Love the new product launch! Great innovation and design.,202,204,2024-01-20
21,user_21,Great initiative for sustainability and eco packaging.,336,293,2024-01-21
22,user_22,Amazing customer support — resolved my issue instantly!,846,248,2024-01-22
23,user_23,This product didn’t live up to the hype.,454,39,2024-01-23
24,user_24,Love the new product launch! Great innovation and design.,301,95,2024-01-24
25,user_25,The ad campaign was creative but missed the mark.,418,213,2024-01-25
26,user_26,Not happy with the delivery delay this week.,911,202,2024-01-26
27,user_27,I’m skeptical about the new pricing strategy.,557,26,2024-01-27
28,user_28,Love the new product launch! Great innovation and design.,119,21,2024-01-28
29,user_29,"Disappointed with the recent update, app keeps crashing.",367,16,2024-01-29
30,user_30,Love the new product launch! Great innovation and design.,53,221,2024-01-30
31,user_31,Great initiative for sustainability and eco packaging.,950,182,2024-01-31
32,user_32,This brand keeps getting better every year!,975,268,2024-02-01
33,user_33,Great initiative for sustainability and eco packaging.,152,277,2024-02-02
34,user_34,I’m skeptical about the new pricing strategy.,333,34,2024-02-03
35,user_35,Highly recommend this product — excellent value!,891,101,2024-02-04
36,user_36,Highly recommend this product — excellent value!,229,47,2024-02-05
37,user_37,Love the new product launch! Great innovation and design.,889,128,2024-02-06
38,user_38,Love the new product launch! Great innovation and design.,61,136,2024-02-07
39,user_39,Great initiative for sustainability and eco packaging.,890,80,2024-02-08
40,user_40,Highly recommend this product — excellent value!,87,264,2024-02-09
41,user_41,This brand keeps getting better every year!,810,61,2024-02-10
42,user_42,Not happy with the delivery delay this week.,74,269,2024-02-11
43,user_43,Highly recommend this product — excellent value!,931,142,2024-02-12
44,user_44,Amazing customer support — resolved my issue instantly!,811,199,2024-02-13
45,user_45,Great initiative for sustainability and eco packaging.,679,115,2024-02-14
46,user_46,The ad campaign was creative but missed the mark.,565,260,2024-02-15
47,user_47,"Disappointed with the recent update, app keeps crashing.",304,50,2024-02-16
48,user_48,This brand keeps getting better every year!,412,270,2024-02-17
49,user_49,Love the new product launch! Great innovation and design.,774,8,2024-02-18
50,user_50,The ad campaign was creative but missed the mark.,133,263,2024-02-19
51,user_51,I’m skeptical about the new pricing strategy.,48,223,2024-02-20
52,user_52,Great initiative for sustainability and eco packaging.,306,26,2024-02-21
53,user_53,Not happy with the delivery delay this week.,90,93,2024-02-22
54,user_54,"Disappointed with the recent update, app keeps crashing.",43,164,2024-02-23
55,user_55,Great initiative for sustainability and eco packaging.,264,184,2024-02-24
56,user_56,The ad campaign was creative but missed the mark.,384,250,2024-02-25
57,user_57,This brand keeps getting better every year!,213,154,2024-02-26
